Weights: {'emptyWeight': 695, 'mergeableWeight': 812, 'montonicWeight': 727, 'totalValueWeight': 617}
Weights: {'emptyWeight': 60, 'mergeableWeight': 679, 'montonicWeight': 942, 'totalValueWeight': 716}
Weights: {'emptyWeight': 172, 'mergeableWeight': 294, 'montonicWeight': 245, 'totalValueWeight': 410}
Weights: {'emptyWeight': 400, 'mergeableWeight': 600, 'montonicWeight': 800, 'totalValueWeight': 600}
Weights: {'emptyWeight': 430, 'mergeableWeight': 829, 'montonicWeight': 895, 'totalValueWeight': 775}
Weights: {'emptyWeight': 49, 'mergeableWeight': 566, 'montonicWeight': 723, 'totalValueWeight': 506}
Weights: {'emptyWeight': 655, 'mergeableWeight': 419, 'montonicWeight': 821, 'totalValueWeight': 911}
Weights: {'emptyWeight': 800, 'mergeableWeight': 200, 'montonicWeight': 400, 'totalValueWeight': 400}
Weights: {'emptyWeight': 210, 'mergeableWeight': 834, 'montonicWeight': 209, 'totalValueWeight': 763}
Weights: {'emptyWeight': 600, 'mergeableWeight': 200, 'montonicWeight': 600, 'totalValueWeight': 800}
Weights: {'emptyWeight': 865, 'mergeableWeight': 886, 'montonicWeight': 740, 'totalValueWeight': 515}
Weights: {'emptyWeight': 713, 'mergeableWeight': 733, 'montonicWeight': 235, 'totalValueWeight': 999}
Weights: {'emptyWeight': 922, 'mergeableWeight': 176, 'montonicWeight': 336, 'totalValueWeight': 194}
Weights: {'emptyWeight': 107, 'mergeableWeight': 448, 'montonicWeight': 233, 'totalValueWeight': 365}
Weights: {'emptyWeight': 406, 'mergeableWeight': 712, 'montonicWeight': 945, 'totalValueWeight': 628}
Weights: {'emptyWeight': 134, 'mergeableWeight': 535, 'montonicWeight': 463, 'totalValueWeight': 776}
Weights: {'emptyWeight': 200, 'mergeableWeight': 600, 'montonicWeight': 600, 'totalValueWeight': 800}
Weights: {'emptyWeight': 400, 'mergeableWeight': 600, 'montonicWeight': 600, 'totalValueWeight': 800}
Weights: {'emptyWeight': 828, 'mergeableWeight': 56, 'montonicWeight': 938, 'totalValueWeight': 660}
Weights: {'emptyWeight': 124, 'mergeableWeight': 637, 'montonicWeight': 593, 'totalValueWeight': 236}
Weights: {'emptyWeight': 387, 'mergeableWeight': 788, 'montonicWeight': 163, 'totalValueWeight': 528}
Weights: {'emptyWeight': 445, 'mergeableWeight': 258, 'montonicWeight': 813, 'totalValueWeight': 736}
Weights: {'emptyWeight': 600, 'mergeableWeight': 200, 'montonicWeight': 400, 'totalValueWeight': 200}
Weights: {'emptyWeight': 600, 'mergeableWeight': 600, 'montonicWeight': 600, 'totalValueWeight': 400}
Weights: {'emptyWeight': 691, 'mergeableWeight': 874, 'montonicWeight': 202, 'totalValueWeight': 241}
Weights: {'emptyWeight': 631, 'mergeableWeight': 79, 'montonicWeight': 430, 'totalValueWeight': 776}
Weights: {'emptyWeight': 400, 'mergeableWeight': 800, 'montonicWeight': 800, 'totalValueWeight': 600}
Weights: {'emptyWeight': 718, 'mergeableWeight': 71, 'montonicWeight': 390, 'totalValueWeight': 669}
Weights: {'emptyWeight': 434, 'mergeableWeight': 290, 'montonicWeight': 446, 'totalValueWeight': 678}
Weights: {'emptyWeight': 533, 'mergeableWeight': 266, 'montonicWeight': 801, 'totalValueWeight': 824}
Weights: {'emptyWeight': 723, 'mergeableWeight': 17, 'montonicWeight': 777, 'totalValueWeight': 321}
Weights: {'emptyWeight': 601, 'mergeableWeight': 672, 'montonicWeight': 697, 'totalValueWeight': 571}
Weights: {'emptyWeight': 200, 'mergeableWeight': 400, 'montonicWeight': 800, 'totalValueWeight': 800}
Weights: {'emptyWeight': 200, 'mergeableWeight': 600, 'montonicWeight': 400, 'totalValueWeight': 400}
Weights: {'emptyWeight': 600, 'mergeableWeight': 200, 'montonicWeight': 600, 'totalValueWeight': 400}
Weights: {'emptyWeight': 200, 'mergeableWeight': 200, 'montonicWeight': 800, 'totalValueWeight': 800}
Weights: {'emptyWeight': 565, 'mergeableWeight': 376, 'montonicWeight': 408, 'totalValueWeight': 679}
Weights: {'emptyWeight': 800, 'mergeableWeight': 800, 'montonicWeight': 800, 'totalValueWeight': 400}
Weights: {'emptyWeight': 368, 'mergeableWeight': 536, 'montonicWeight': 805, 'totalValueWeight': 204}
Weights: {'emptyWeight': 655, 'mergeableWeight': 419, 'montonicWeight': 629, 'totalValueWeight': 911}
Weights: {'emptyWeight': 5, 'mergeableWeight': 396, 'montonicWeight': 71, 'totalValueWeight': 75}
Weights: {'emptyWeight': 367, 'mergeableWeight': 582, 'montonicWeight': 157, 'totalValueWeight': 347}
